Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.0152,0.01508,9,0.090000004,1.081689593,0.09,-3.384,3.3657,5.191,0,0,0.545,0,0,0,0,0,-1,-4.43E-17,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,13.23,15.259,18.199,13.733,20.496,18.21,11.082,10.48,10.214
0.0152,0.01508,9,0.100000002,1.171106412,0.1,-3.222,3.3893,5.17,0,0,0.545,0,0,0,0,0,-1,-6.24E-17,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.826,14.855,17.786,13.329,20.068,17.794,10.679,10.077,9.809
0.0152,0.01508,9,0.120000012,1.319315523,0.12,-2.975,3.4228,5.135,0,0,0.545,0,0,0,0,0,-1,-1.05E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.208,14.16,16.968,12.651,19.17,16.968,10.074,9.474,9.202
0.0152,0.01508,9,0.122962318,1.3385314,0.123,-2.948,3.4259,5.131,0,0,0.545,0,0,0,0,0,-1,-1.10E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.14,14.049,16.791,12.549,18.958,16.788,10.015,9.414,9.141
0.0152,0.01508,9,0.140000001,1.438452672,0.14,-2.794,3.443,5.102,0,0,0.545,0,0,0,0,0,-1,-1.52E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.755,13.442,15.871,11.992,17.863,15.852,9.67,9.07,8.796
0.0152,0.01508,9,0.149383724,1.486968702,0.149,-2.726,3.4495,5.088,0,0,0.545,0,0,0,0,0,-1,-1.75E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.585,13.19,15.506,11.759,17.438,15.482,9.515,8.915,8.642
0.0152,0.01508,9,0.159999996,1.537293155,0.16,-2.653,3.4565,5.073,0,0,0.545,0,0,0,0,0,-1,-2.03E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.403,12.922,15.114,11.515,16.997,15.089,9.352,8.751,8.48
0.0152,0.01508,9,0.200000003,1.693879086,0.2,-2.438,3.4752,5.03,0,0,0.545,0,0,0,0,0,-1,-3.14E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,10.865,12.17,14.066,10.825,15.827,14.035,8.86,8.258,7.994
0.0152,0.01508,9,0.25,1.8403258,0.25,-2.236,3.4916,4.991,0,0,0.545,0,0,0,0,0,-1,-4.67E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,10.36,11.489,13.153,10.204,14.846,13.121,8.397,7.794,7.538
0.0152,0.01508,9,0.313580513,1.979337306,0.314,-2.035,3.5051,4.941,0,0,0.545,0,0,0,0,0,-1,-7.02E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.856,10.867,12.384,9.626,14.013,12.349,7.924,7.319,7.072
0.0152,0.01508,9,0.319421202,1.990248062,0.319,-2.016,3.5062,4.935,0,0,0.545,0,0,0,0,0,-1,-7.31E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.81,10.811,12.317,9.574,13.94,12.282,7.881,7.275,7.028
0.0152,0.01508,9,0.346612215,2.037829798,0.347,-1.938,3.5118,4.916,0,0,0.545,0,0,0,0,0,-1,-8.59E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.616,10.571,12.022,9.352,13.621,11.985,7.7,7.092,6.849
0.0152,0.01508,9,0.350000024,2.043417513,0.35,-1.929,3.5125,4.913,0,0,0.545,0,0,0,0,0,-1,-8.75E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.593,10.542,11.987,9.326,13.584,11.95,7.679,7.07,6.828
0.0152,0.01508,9,0.400000036,2.118502481,0.4,-1.781,3.5233,4.866,0,0,0.545,0,0,0,0,0,-1,-1.22E-15,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.221,10.09,11.44,8.908,12.998,11.401,7.334,6.719,6.483
